page_number,url,name,price,original_price,discount_percentage,rating,sales_info,image_url,additional_badges
1,https://fr.aliexpress.com/item/1005008615880976.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-10&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21565.10%21254.26%21%21%2156.34%2125.35%21%40211b6c1917468332778255310efdb6%2112000045963129929%21sea%21MA%210%21ABX&curPageLogUid=bY27a4NtqfrP&utparam-url=scene%3Asearch%7Cquery_from%3A,"Manteau en laine polaire Double face pour femme, mi-long, haut de gamme, polyvalent, petite taille, Tweed, tendance, offre spéciale, automne hiver",MAD 254.26,MAD565.1,-55%,2,12 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Sbb7bb812e9c94fba94c67c0d2cba1c81d.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | - 2% en plus avec les pièces
1,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005006809559358:12000038377197808&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A,"Routeur sans fil pour ordinateur et écran TV, décodeur T1, pas de stockage perforé, outil divin, 1 pièce",MAD 41.02,MAD128.26,-68%,4.7,100 k vendus,https://ae-pic-a1.aliexpress-media.com/kf/S91b311804fe14fe39f61c55a820bb455W.jpg_480x480q75.jpg_.avif,"MAD37.82 chaque, ≥ 2 pièces | Le plus vendu sur AliExpress"
2,https://fr.aliexpress.com/item/1005005766811194.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-0&pdp_ext_f=%7B%22order%22%3A%223449%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21326.92%21199.42%21%21%21236.18%21144.07%21%40210390c917468333028478416e808d%2112000034324493850%21sea%21MA%210%21ABX&curPageLogUid=Cffc0nRMC1ge&utparam-url=scene%3Asearch%7Cquery_from%3A,【Haute qualité】 M-4XL été nouveau T-shirt à manches courtes pour hommes POLO frais et respirant affaires décontracté haut absorbant la sueur,MAD 199.42,N/A,N/A,4.6,3 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S32f1f70c1295460bac116ec6fe8d0a7a2.jpg_480x480q75.jpg_.avif,MAD127.5 économisés | Livraison gratuite dès MAD100.3 d'achat
2,https://fr.aliexpress.com/item/1005006836722762.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-1&pdp_ext_f=%7B%22order%22%3A%22315%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21159.36%21127.48%21%21%21115.13%2192.10%21%40210390c917468333028478416e808d%2112000038463629786%21sea%21MA%210%21ABX&curPageLogUid=wTF1ZBFbH8XJ&utparam-url=scene%3Asearch%7Cquery_from%3A,"Débardeur de sport d'été pour hommes, T-shirt sans manches en maille ample et respirante, gilet à séchage rapide, vêtements de Fitness pour hommes",MAD 127.48,N/A,N/A,4.9,315 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S041ddcbefd9f4db891ab05552f9307bcr.jpg_480x480q75.jpg_.avif,MAD31.88 économisés | Livraison gratuite dès MAD100.3 d'achat
2,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005007805600310:12000042261948915&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A,"POLO à manches courtes pour hommes, imprimé Business décontracté, à la mode, haut confortable et respirant, nouvelle collection 2024",MAD 128.29,MAD342.31,-62%,4.9,2 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Sc2b03cb2ace144ebb1bbb73764c31f1c2.jpg_480x480q75.jpg_.avif,N/A
2,https://fr.aliexpress.com/item/1005008985347980.html?aem_p4p_detail=2025050916282217372963313548000002796811&algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-3&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21301.26%21210.89%21%21%21217.64%21152.35%21%40210390c917468333028478416e808d%2112000047463769885%21sea%21MA%210%21ABX&curPageLogUid=8bjw17WMIEmV&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025050916282217372963313548000002796811_1,"T-shirt blanc en coton Modal pour femmes, épaules dénudées, ample et Slim et couvre les épaules à une épaule, été",MAD 210.89,MAD301.26,-30%,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/S2d5826075a174ba4b7407baef631f7bah.jpg_480x480q75.jpg_.avif,- 2% en plus avec les pièces | Sélection du vendeur
2,https://fr.aliexpress.com/item/1005006680652549.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-4&pdp_ext_f=%7B%22order%22%3A%221392%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21403.49%21246.12%21%21%21291.50%21177.81%21%40210390c917468333028478416e808d%2112000037998325463%21sea%21MA%210%21ABX&curPageLogUid=V6c0v9g7zuQp&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo à manches longues pour hommes, vêtements de survêtement, Business, haut décontracté, mode classique, couleur unie, marque basique, col en v, nouvelle collection",MAD 246.12,N/A,N/A,4.6,1 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S672ffc7cd37f4173b7db83130197e6ffq.jpg_480x480q75.jpg_.avif,Le plus vendu sur AliExpress | MAD157.37 économisés
2,https://fr.aliexpress.com/item/1005007345149813.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-5&pdp_ext_f=%7B%22order%22%3A%223821%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007345149813%22%2C%22orig_item_id%22%3A%221005006842106382%22%7D&pdp_npi=4%40dis%21MAD%21328.64%21157.75%21%21%21237.42%21113.96%21%40210390c917468333028478416e808d%2112000040354811032%21sea%21MA%210%21ABX&curPageLogUid=JEoCxdjOMm3Y&utparam-url=scene%3Asearch%7Cquery_from%3A,"T-shirt d'été à manches courtes pour hommes, Polo décontracté, couleur unie, tendance, respirant, ample, basique, épissure",MAD 157.75,MAD328.64,-52%,5,3 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S4184a3f7d9804a6c8506916bfeef1904U.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | - 5% en plus avec les pièces
2,https://fr.aliexpress.com/item/1005007272151342.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-6&pdp_ext_f=%7B%22order%22%3A%22270%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%214.31%213.01%21%21%210.43%210.30%21%40210390c917468333028478416e808d%2112000040021330421%21sea%21MA%210%21ABX&curPageLogUid=37JYCLXJ4nUP&utparam-url=scene%3Asearch%7Cquery_from%3A,"Gilet moulant en coton léger pour hommes, pyjama de sport décontracté pour la famille, haut moulant d'extérieur, respirant, à séchage rapide, nouvelle collection été 2024",MAD 3.01,MAD4.31,-30%,4.5,270 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S33f639d6f30643d0a88be50d8c5924c00.jpg_480x480q75.jpg_.avif,N/A
2,https://fr.aliexpress.com/item/1005008987211058.html?aem_p4p_detail=2025050916282217372963313548000002796811&algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-7&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21397.27%21278.09%21%21%21287.00%21200.90%21%40210390c917468333028478416e808d%2112000047470110761%21sea%21MA%210%21ABX&curPageLogUid=aHhvjlTqoAMa&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025050916282217372963313548000002796811_2,"Chemise en mousseline de soie à manches courtes pour femmes, ample, Slim, col de poupée, nouveau haut tendance, été 2025",MAD 278.09,MAD397.27,-30%,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/S2650a9ddfb474f8eaebb8fd0c11ab716l.jpg_480x480q75.jpg_.avif,- 2% en plus avec les pièces | Sélection du vendeur
2,https://fr.aliexpress.com/item/1005008285328569.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-8&pdp_ext_f=%7B%22order%22%3A%22131%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21258.35%21160.18%21%21%21186.64%21115.72%21%40210390c917468333028478416e808d%2112000044479635271%21sea%21MA%210%21ABX&curPageLogUid=Pqi8gyAnYNrU&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo à manches courtes pour hommes, article à la mode, édition régulière, col boutonné, haut d'affaires pour hommes, été",MAD 160.18,N/A,N/A,4.1,131 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S2d94c27ff413454b91ae4880b8e8ed5ep.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | MAD98.17 économisés
2,https://fr.aliexpress.com/item/1005008168669949.html?algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-9&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21264.15%21163.77%21%21%21190.83%21118.31%21%40210390c917468333028478416e808d%2112000044073747282%21sea%21MA%210%21ABX&curPageLogUid=h57tSVbfxEK5&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo à manches courtes pour hommes, polo boutonné, revers de sport décontracté, mode estivale, coupe régulière, vêtements pour hommes",MAD 163.77,N/A,N/A,N/A,15 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Aa9f4a4b8122249519bc0082344cf5a36p.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | MAD100.38 économisés
2,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005006860673798:12000047191922422&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo d'affaires décontracté à manches longues pour hommes, T-shirt d'été confortable et respirant pour les Occasions formelles",MAD 120.26,MAD337.63,-64%,N/A,3 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S84456b9f58544b5fb06ff47827c98e7du.jpg_480x480q75.jpg_.avif,N/A
2,https://fr.aliexpress.com/item/1005008970732763.html?aem_p4p_detail=2025050916282217372963313548000002796811&algo_pvid=7e6bbe5d-7df0-4954-9a6c-d93205efd912&algo_exp_id=7e6bbe5d-7df0-4954-9a6c-d93205efd912-11&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21310.12%21217.09%21%21%21224.04%21156.83%21%40210390c917468333028478416e808d%2112000047412388879%21sea%21MA%210%21ABX&curPageLogUid=FCjMOJVR3OfO&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025050916282217372963313548000002796811_3,"Petit haut à manches courtes pour femmes, nouveau Design d'été, couleur de Niche, Style court décontracté et polyvalent, 2025",MAD 217.09,MAD310.12,-30%,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/S94175cfd777d4593afbc28a9559ede6fB.jpg_480x480q75.jpg_.avif,- 2% en plus avec les pièces | Sélection du vendeur
3,https://fr.aliexpress.com/item/1005007345342117.html?algo_pvid=b0c1c83f-ff1f-406f-92b1-3d423283c0dc&algo_exp_id=b0c1c83f-ff1f-406f-92b1-3d423283c0dc-0&pdp_ext_f=%7B%22order%22%3A%221073%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007345342117%22%2C%22orig_item_id%22%3A%221005006832869058%22%7D&pdp_npi=4%40dis%21MAD%21227.81%21109.35%21%21%21164.58%2179.00%21%402103890917468333261894612ee839%2112000040354657097%21sea%21MA%210%21ABX&curPageLogUid=IALsIbtldPI9&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo à manches courtes pour hommes, couleur unie, décontracté, mode, haut d'été confortable pour les affaires et les loisirs",MAD 109.35,MAD227.81,-52%,4.9,1 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Sd45fafe9984c4bf99374f3033c851af8M.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | - 5% en plus avec les pièces
3,https://fr.aliexpress.com/item/1005007272083024.html?algo_pvid=b0c1c83f-ff1f-406f-92b1-3d423283c0dc&algo_exp_id=b0c1c83f-ff1f-406f-92b1-3d423283c0dc-1&pdp_ext_f=%7B%22order%22%3A%22104%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%214.31%213.01%21%21%210.43%210.30%21%402103890917468333261894612ee839%2112000040020730979%21sea%21MA%210%21ABX&curPageLogUid=ixywe5H7Q5KG&utparam-url=scene%3Asearch%7Cquery_from%3A,Été solide col carré débardeur coton noir blanc gris femmes hommes grande taille vêtements débardeur Singlets sans manches Fitness gilet,MAD 3.01,MAD4.31,-30%,4.6,104 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S37b64c7a7e6b40559fefe5a98310e5187.jpg_480x480q75.jpg_.avif,N/A
3,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005007489627907:12000040988812597&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A,Vêtements de marque été nouveau T-shirt à manches courtes pour hommes soie glacée POLO frais et respirant affaires décontracté haut absorbant la sueur,MAD 94.18,N/A,N/A,4.1,900 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Se277a5f4ee244c9a9637a908077cfeedx.jpg_480x480q75.jpg_.avif,MAD185 économisés
3,https://fr.aliexpress.com/item/1005008972119274.html?aem_p4p_detail=202505091628462693208877281720002781424&algo_pvid=b0c1c83f-ff1f-406f-92b1-3d423283c0dc&algo_exp_id=b0c1c83f-ff1f-406f-92b1-3d423283c0dc-3&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21138.42%2138.76%21%21%21100.00%2128.00%21%402103890917468333261894612ee839%2112000047432282091%21sea%21MA%210%21ABX&curPageLogUid=7bUXg5aWXOgr&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202505091628462693208877281720002781424_1,Hello Kitty T-shirt femme mode d'été à manches courtes hauts imprimé col en v T-shirt décontracté pour femmes Y2k vêtements grande taille t-shirts,MAD 38.76,MAD138.42,-72%,N/A,N/A,https://ae-pic-a1.aliexpress-media.com/kf/Scc2254e4472943688fc382b501b39ed7h.jpg_480x480q75.jpg_.avif,Sélection du vendeur
3,https://fr.aliexpress.com/item/1005006833382229.html?algo_pvid=b0c1c83f-ff1f-406f-92b1-3d423283c0dc&algo_exp_id=b0c1c83f-ff1f-406f-92b1-3d423283c0dc-4&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21295.14%21185.94%21%21%21213.22%21134.33%21%402103890917468333261894612ee839%2112000038449055907%21sea%21MA%210%21ABX&curPageLogUid=ZQzGTPF36K6M&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo décontracté à manches courtes pour hommes, haut confortable, chemise d'été, document solide, mode",MAD 185.94,N/A,N/A,5,24 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S8e962e8b4021414f9a095482c53d50f7a.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | MAD109.2 économisés
3,https://fr.aliexpress.com/item/1005008849843164.html?algo_pvid=b0c1c83f-ff1f-406f-92b1-3d423283c0dc&algo_exp_id=b0c1c83f-ff1f-406f-92b1-3d423283c0dc-5&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21343.00%21171.50%21%21%21247.80%21123.90%21%402103890917468333261894612ee839%2112000046936310708%21sea%21MA%210%21ABX&curPageLogUid=KCcWhlpdysC3&utparam-url=scene%3Asearch%7Cquery_from%3A,"Chemise à manches courtes pour hommes, décontractée, avec Badge, Polo de couleur unie, à la mode, respirante, confortable, polyvalente, nouvelle collection",MAD 171.5,MAD343,-50%,N/A,25 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S93d279b1629a4e17a83d0e24eab08f22A.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | - 1% en plus avec les pièces
3,https://fr.aliexpress.com/item/1005006770417985.html?algo_pvid=b0c1c83f-ff1f-406f-92b1-3d423283c0dc&algo_exp_id=b0c1c83f-ff1f-406f-92b1-3d423283c0dc-6&pdp_ext_f=%7B%22order%22%3A%2245%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%2130.44%2114.92%21%21%2121.99%2110.78%21%402103890917468333261894612ee839%2112000038242230251%21sea%21MA%210%21ABX&curPageLogUid=PKG4Gsm8ilb3&utparam-url=scene%3Asearch%7Cquery_from%3A,"Chemise de gymnastique pour hommes, haut en émail précieux, maillot de corps de fitness, vêtements de musculation, entraînement sportif",MAD 14.92,MAD30.44,-51%,4.5,45 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S1605a9afe235495e90481075e730d768C.jpg_480x480q75.jpg_.avif,- 5% en plus avec les pièces
